Series,Release date,Title,Summary,Link
New Series,May,Defending Jacob,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder.",http://www.todaytvseries2.com/tv-series/641-defending-jacob-tv-apple
New Series,May,Penny Dreadful: City of Angels,"When a grisly murder shocks Los Angeles in 1938, Detective Tiago Vega and his partner Lewis Michener become embroiled in an epic story that reflects the rich history of the city.",http://www.todaytvseries2.com/tv-series/639-penny-dreadful-city-of-angels-showtime
New Series,April,Gangs of London,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,http://www.todaytvseries2.com/tv-series/640-gangs-of-london-sky-atlantic
Series,Release date,Title,Link
Last episode,2020/05/12,"Roswell, New Mexico","http://www.todaytvseries2.com/tv-series/553-roswell,-new-mexico-the-cw"
Last episode,2020/05/12,Good Witch,http://www.todaytvseries2.com/tv-series/291-good-witch
Last episode,2020/05/12,9-1-1,http://www.todaytvseries2.com/tv-series/488-9-1-1-fox-tv
Last episode,2020/05/11,Insecure,http://www.todaytvseries2.com/tv-series/446-insecure-hbo
Last episode,2020/05/11,The Rookie,http://www.todaytvseries2.com/tv-series/543-the-rookie-abc
Last episode,2020/05/11,Batwoman,http://www.todaytvseries2.com/tv-series/617-batwoman-the-cw
Last episode,2020/05/11,Supergirl,http://www.todaytvseries2.com/tv-series/153-supergirl-tv2
Last episode,2020/05/11,Killing Eve,http://www.todaytvseries2.com/tv-series/511-killing-eve-bbc
Last episode,2020/05/10,Billions,http://www.todaytvseries2.com/tv-series/191-billions
Last episode,2020/05/10,Defending Jacob,http://www.todaytvseries2.com/tv-series/641-defending-jacob-tv-apple
Last episode,2020/05/10,Penny Dreadful: City of Angels,http://www.todaytvseries2.com/tv-series/639-penny-dreadful-city-of-angels-showtime
Last episode,2020/05/10,Outlander,http://www.todaytvseries2.com/tv-series/244-outlander-tv
Last episode,2020/05/09,MacGyver,http://www.todaytvseries2.com/tv-series/350-macgyver-cbs
Last episode,2020/05/09,Magnum P.I.,http://www.todaytvseries2.com/tv-series/534-magnum-p-i-cbs
Last episode,2020/05/09,Dynasty,http://www.todaytvseries2.com/tv-series/539-dynasty-the-cw
Last episode,2020/05/09,The Blacklist,http://www.todaytvseries2.com/tv-series/137-the-blacklist-tv3
Last episode,2020/05/08,Siren,http://www.todaytvseries2.com/tv-series/509-siren-freeform
Last episode,2020/05/08,Vagrant Queen,http://www.todaytvseries2.com/tv-series/638-vagrant-queen-syfy
Last episode,2020/05/08,In the Dark,http://www.todaytvseries2.com/tv-series/574-in-the-dark-the-cw
Last episode,2020/05/08,The Good Fight,http://www.todaytvseries2.com/tv-series/411-the-good-fight-cbs
Last episode,2020/05/08,Blindspot,http://www.todaytvseries2.com/tv-series/140-blindspot-tv4
Last episode,2020/05/08,How to Get Away with Murder,http://www.todaytvseries2.com/tv-series/94-how-to-get-away-with-murder-tv3
Last episode,2020/05/07,What We Do in the Shadows,http://www.todaytvseries2.com/tv-series/570-what-we-do-in-the-shadows-fx
Last episode,2020/05/07,Motherland: Fort Salem,http://www.todaytvseries2.com/tv-series/637-motherland-fort-salem-freeform
Last episode,2020/05/07,Riverdale,http://www.todaytvseries2.com/tv-series/401-riverdale-cw-tv1
